Year,Observed,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CESM2,CESM2-WACCM,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,E3SM-1-0,EC-Earth3,EC-Earth3-Veg,FGOALS-f3-L,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,GISS-E2-1-G-CC,GISS-E2-1-H,HadGEM3-GC31-LL,HadGEM3-GC31-MM,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorCPM1,NorESM2-LM,SAM0-UNICON,UKESM1-0-LL,Month
2008,4.69,5.050147533,4.037797928,2.922578573,4.654820442,6.736989498,7.543113708,1.60103929,2.960340738,5.292460918,3.50637579,4.243646145,2.472297907,4.60354805,4.511613846,3.09747839,5.065921307,4.085269928,6.575059891,7.032915115,8.113758087,4.147,4.873,7.209170818,4.929541588,2.552473307,3.852600574,4.892076969,2.845537663,3.501520634,2.392760547,1.788069487,8.727560997,4.176666737,5.696875095,6.814,9
2009,5.26,5.476309299,3.205009699,2.710921764,5.310658455,6.213956833,6.705729008,0.947073996,3.869157314,4.989737988,3.685300112,4.420884609,1.546121001,4.414255142,4.762736797,2.656710148,4.560745716,4.121665001,7.221227646,5.992768764,6.611861706,4.818,5.674,6.689229965,5.071073055,3.408786297,3.945890903,5.07209444,2.878878832,3.08787179,1.653511383,2.963885307,8.26595974,4.481215954,5.630122185,6.424,9
2010,4.87,5.586924076,3.747420788,2.944187403,6.168558598,6.304272652,7.116314411,2.432323217,3.848208904,5.101672173,3.080200911,4.982622623,0.700423121,4.465729713,4.475131989,3.351929665,5.121153831,4.697605133,7.182723999,6.616746426,6.740733147,4.985,5.404,6.740465164,5.349182129,3.006474018,3.564162016,4.357739925,2.604441881,2.991638184,3.903133636,2.458602667,8.192193031,3.951914549,6.588283062,6.307,9
2011,4.56,4.473161697,2.781508446,2.743057489,5.602740765,6.054846764,7.148842335,2.304373264,2.646923542,4.949847698,4.372887611,5.422802925,1.134294868,4.323039532,5.461285591,2.923849344,3.974464893,4.491743088,6.5389781,6.362856865,6.923573494,4.17,4.901,6.909983635,6.019753933,3.332312584,4.014537334,4.445576668,2.554802179,3.21047473,3.871146755,2.365112543,8.110458374,4.190672398,5.419381142,5.586,9
2012,3.57,4.012982368,4.060365677,2.934207916,4.756244183,5.027421474,6.161509514,2.640736341,2.712109327,4.679612637,3.274875402,4.891989708,2.859272003,4.518529415,4.292849541,2.81397295,4.34300375,4.2727952,7.374498367,6.482508659,6.377119541,4.71,4.48,7.165015221,6.101336479,2.743694305,4.117161751,4.363172531,2.673252821,3.323927402,3.002794908,2.586857557,8.647251129,4.217416286,5.260526657,5.867,9
2013,5.21,4.193058014,3.871250391,2.941201925,5.165137291,5.178328514,7.087563038,1.060424566,3.254339457,5.183678627,4.27456665,4.07566452,2.200253248,4.522573948,4.747388363,3.530062199,5.651381016,4.497570038,6.178676128,7.053979874,6.459958076,4.078,3.768,6.961748123,5.468810081,2.695393324,3.399687529,3.687043667,2.740231276,3.148670673,2.605239346,2.053671598,8.393301964,3.985631943,6.345206738,5.212,9
2014,5.22,4.296965122,3.639829874,3.093069315,4.473220348,5.28421402,7.230594158,2.002138376,3.180541277,5.360841751,3.462400436,4.074640274,2.301165581,4.642668724,5.017022133,1.817988276,4.519066811,5.156944275,5.91039753,6.312267303,7.916802883,4.87,3.735,6.800934792,5.201982498,3.761485577,3.006616354,3.669958115,2.876494884,3.212326765,2.011868658,1.589695096,8.764858246,3.419272423,4.69839859,5.569,9
1979,16.34,15.60864449,14.14006042,15.21465111,17.08101845,17.70249748,18.99923706,14.3613348,14.1888113,15.88766098,15.26355171,16.26153755,21.11894417,17.54950905,15.20319843,11.54274559,15.65657616,14.66666317,17.76445961,17.21049118,21.42879295,15.588,14.2,16.73223495,15.95000839,14.49546337,13.13500977,12.09319687,14.44281483,13.37150955,14.83819786,19.05068398,14.64930534,14.08169842,16.13009644,17.552,3
1980,16.04,15.78000164,14.54305553,16.08790398,17.00835037,17.42487144,19.74776268,13.95106697,14.37477112,15.63198566,15.31509972,16.03603172,19.83219528,17.73071098,14.88483715,11.48331642,15.56590557,14.72360325,17.63254929,17.25494766,21.42014122,15.788,14.303,16.31484413,15.84936523,14.63818455,12.90737915,12.00270367,14.7785778,13.90601063,14.67272888,19.86994171,14.57607079,14.02119923,15.97617722,16.937,3
1981,15.63,15.94433594,14.7315836,15.65859795,16.85281754,17.85894012,20.16453552,13.81083298,14.16230774,15.36051846,15.32628441,15.74016094,20.15838623,17.67204094,14.46135521,11.50825405,15.92098999,14.73967457,17.61873627,17.18049622,20.60824776,16.193,14.51,16.30623245,16.42652512,13.96144199,12.84033108,12.08057499,13.91363716,13.73326778,14.75817653,19.26057625,14.67628384,14.04684162,15.28624821,16.888,3
1982,16.04,15.71332455,14.59240627,15.73136711,16.40217972,17.99258804,19.92838287,13.92883015,14.21151066,15.29508781,14.89215088,15.46971512,20.56214714,16.71241379,14.43324375,11.70735931,15.71966553,14.62923622,16.81220055,17.42989731,20.56941414,16.398,14.627,15.8815937,15.28454208,14.60872459,12.44374084,12.26140881,14.02537918,14.32827282,14.44045451,18.95903969,14.73860741,14.20857716,16.41172028,17.338,3
1983,16.09,15.61038208,14.8111248,15.25442982,16.63223076,18.47757339,19.63713074,14.09085464,14.21748066,15.16358948,15.28897476,15.58749485,20.46154213,16.57849884,14.48719978,12.0648241,15.65939617,14.44444084,16.16056061,17.74871445,20.59937668,16.553,14.686,15.42415047,15.29740906,14.63714027,12.53892803,12.15156364,13.49499035,13.93110085,14.31854508,18.94116974,14.67982388,14.41025352,16.04007721,16.933,3
1984,15.58,16.39811134,14.86253548,15.42802715,16.9364109,18.18174934,20.43669701,13.9892664,14.3234787,15.07657433,15.01526165,15.30259514,20.62640762,16.8999691,14.42429638,11.56394196,15.52786827,14.20706463,16.79765701,17.97715187,20.5761795,16.991,14.782,16.37270737,15.21096611,15.06067467,12.73234844,11.85871983,14.32036304,14.26515675,14.36649021,19.5728302,14.58025169,14.13017941,15.88643551,17.23,3
1985,15.89,16.0663929,15.35608482,14.86997604,17.2675724,18.26052475,19.96881676,14.01807976,14.74342632,15.1296072,14.87242794,15.58985329,21.31931877,16.62339592,14.68830967,11.33270836,15.55225372,14.17171288,17.52536392,17.21910858,20.97698975,16.693,14.867,15.95525932,16.1240406,14.66124439,12.53379917,12.0998621,14.44868946,14.38075352,14.09518528,19.32860374,14.33503914,14.2696867,15.75197601,17.126,3
1986,15.91,16.21308708,14.95375347,15.07296181,16.93705368,17.9537735,19.78145599,13.90754128,14.41358757,15.43568707,14.96542263,15.60806561,20.98514557,17.34540939,14.74932003,11.50529385,15.7179594,13.88724804,17.20426559,17.02518272,20.7203064,16.334,14.622,16.14459419,16.6022377,15.18130016,12.78024387,12.00622272,14.44237995,13.93524551,14.48750248,18.98922539,14.18580151,14.28813648,14.83211899,16.743,3
1987,15.82,16.34543037,14.50279236,15.32113838,16.97559166,18.23159409,19.75963211,13.96801186,14.33732605,15.01754379,14.48638535,15.51820087,20.53744125,16.88077354,14.69601727,11.73240185,15.62423706,13.43531609,16.91213417,17.49382973,20.48729515,16.294,14.949,15.79176044,16.7412529,14.98667908,12.33404446,11.90306664,15.60423565,14.0379076,14.5896884,19.05767632,14.5111351,13.86285973,15.62520027,16.868,3
1988,15.96,16.29699135,14.31131363,15.55466461,17.14646339,17.80119133,18.90393639,13.96813011,14.2267828,14.74556065,14.61942482,15.68447399,19.85196495,16.77686691,14.45236397,11.01236343,15.2289772,13.70442581,17.16442108,16.36915588,20.805439,15.892,15.347,15.78872299,15.95812893,14.74338722,12.51255608,11.95565224,14.69814396,13.18541813,14.68831228,18.74365425,14.8421917,14.18959236,16.47841263,16.304,3
1989,15.42,16.67649269,14.40594006,15.03487396,16.74879456,18.18873405,19.23023033,13.97642899,14.52750683,14.71053028,14.35647964,15.57463074,20.75116348,16.33886909,14.69414711,11.38388824,15.21249866,13.34181499,17.52726936,16.57962799,20.53573608,15.547,14.964,15.57144356,15.1864872,14.30930424,12.81686878,11.71579647,14.66273212,13.39681816,14.58642441,19.01531982,15.10315609,14.2133112,16.28703308,16.851,3
1990,15.87,16.21204185,14.46127129,15.42155647,16.24414825,17.83238602,19.02796364,14.17087936,14.19592094,14.53386402,14.41966438,15.89878464,19.50117874,16.53781509,14.18810463,10.88223076,15.39400673,13.46929741,16.60227394,17.1008358,20.20178986,15.432,15.091,15.76277256,15.36933804,14.46307659,13.01611805,11.76998711,14.33649921,12.82155418,14.64026331,19.04185867,14.70943546,13.82500744,15.6194191,16.265,3
1991,15.42,16.39942741,13.86632442,14.642663,16.65742874,17.5298996,19.50174141,14.07059956,14.10137367,14.84273911,14.64895344,15.33631039,19.80398369,16.33868027,14.38554859,11.2493124,14.77387619,13.84111786,16.62104988,17.5351162,20.05700493,15.298,15.118,15.33000183,15.62403107,14.49237728,13.00321865,11.67946625,13.91991234,12.96554756,14.86145228,18.6871109,14.49779415,14.16557121,15.79013348,16.433,3
1992,15.48,16.19197845,14.20427418,14.44155216,16.9225235,18.2465992,19.14888573,14.30554008,14.03157234,14.73819828,14.50694084,15.49812889,20.59009361,16.00073814,13.77829456,10.82353783,14.8872385,13.76752949,16.15577698,17.53158569,20.39840889,15.277,15.054,15.49123383,15.55999851,14.4700098,12.50819397,11.65432072,13.52917671,13.07707977,14.81829465,18.65875816,14.74889565,14.10793781,15.81241035,16.015,3
1993,15.81,16.49319458,14.99849224,14.819767,16.85232544,17.88551903,19.34151268,14.39261341,14.29878139,14.64113331,14.3655901,16.00312042,20.55923843,15.84887028,14.38793755,11.35782337,15.18518066,14.23372459,16.40563774,17.5990181,20.5852375,15.028,15.235,16.16249084,15.3166523,14.5323925,12.55176258,11.90193939,14.06462669,13.50422764,14.7751152,18.6883316,14.70474052,13.8245039,15.92685509,16.339,3
1994,15.55,16.54001808,15.09238052,14.60061836,17.04304504,18.2595005,18.94410133,14.43672562,14.34347725,14.93750954,14.55672836,16.12903976,20.72179031,16.57449341,14.36408901,11.61349201,15.13366604,14.25898838,16.33943558,17.37905121,20.91736031,15.435,15.358,15.318223,15.65475655,14.53146648,12.66377068,12.1025219,14.33185959,13.02192307,14.71785327,18.74740601,14.76649666,13.5999155,15.73903084,17.1,3
1995,15.26,15.83442879,14.46217728,14.80341244,16.95345879,17.84759521,19.38672638,13.75839996,14.42434788,14.47833633,14.76161861,15.66503906,19.74536133,16.25273895,13.92414856,10.93250179,15.26415443,14.21941757,16.74061012,17.54753304,20.7361908,15.698,15.446,15.37482262,15.6797142,14.34594822,12.76731586,11.97429466,15.11758804,13.44465065,14.94037486,18.45776939,15.37228394,13.90596104,16.1382122,15.861,3
1996,15.12,15.66232014,14.38151073,14.39690208,16.64227486,17.45587158,18.76096153,13.91375828,14.25024605,13.67289162,14.90990829,15.90119934,19.45173073,15.67883015,13.82542419,10.97894382,15.24729729,14.07061863,15.9489336,16.39141846,20.59747505,15.852,15.23,15.70735455,15.72894096,14.38971424,12.86002064,12.11280155,15.01197624,13.2692337,14.63545869,19.00438499,15.40738487,13.82610226,15.95143032,15.985,3
1997,15.47,16.01324081,13.61075115,14.95109081,16.69462204,17.69945908,19.05049896,14.02567959,14.38670158,14.12065506,15.03575802,15.74822617,19.91201401,15.55034351,13.91736984,10.87000465,15.65437508,14.16990089,17.0882473,16.03342056,20.5304203,16.016,14.942,15.47370625,15.66435432,14.24357796,12.86080074,12.13167,14.38715458,13.33628464,14.58875965,18.39030647,15.24467182,13.96000862,15.66946793,15.705,3
1998,15.6,16.16923904,13.45247173,15.11044979,16.84903526,17.64425468,19.04230881,13.86553478,14.21235943,14.88142109,14.81723499,15.09821415,20.61275291,15.26662636,13.88305283,10.77510834,15.30631924,13.74452972,17.21228218,16.52933311,20.37444496,15.973,14.567,15.34346199,15.46296787,14.26124287,12.94135666,12.0545063,14.27207756,12.92395401,14.54233265,17.5578289,14.8283329,13.65323544,15.64864063,15.204,3
1999,15.4,15.79026985,13.39238739,14.70057392,17.11501122,17.58114052,18.5550499,13.67213249,14.14916801,14.93396473,14.85190868,14.94377136,20.18261147,15.30188656,13.58492756,10.62106895,15.5956068,13.46679401,16.55871201,16.26785851,20.4102726,15.905,14.48,15.26779461,14.86959267,14.53242302,12.61853123,12.38346767,14.31610298,12.61942196,14.0668119,18.02945328,14.9140234,13.77554512,16.17973518,15.303,3
2000,15.22,15.94387531,13.36121368,14.45741558,16.3977108,17.91340446,18.98561478,13.44943237,14.10762501,14.79496574,14.57166767,14.51649761,20.17144585,15.3582325,13.56855583,11.37706375,15.25731373,13.4176712,16.18723106,16.46420288,20.52898026,16.066,14.641,15.73681068,15.12611198,14.7787714,12.52880764,12.2269516,14.15007496,12.76682377,14.12695535,17.98267746,15.82580566,13.36887169,16.55436516,14.868,3
2001,15.52,15.16253948,13.52877712,14.23040485,16.22801971,17.6050396,18.99786949,13.87914371,13.85101128,14.98546791,14.59742451,14.50508308,19.36414146,15.31340504,13.46735954,11.02539539,15.1088171,13.47107792,16.31662178,16.44060326,20.53164673,15.569,14.624,15.51524925,15.09521389,14.70128441,12.61077309,12.03496361,14.12428665,12.47032928,14.42692503,18.56262779,14.87263012,13.8001585,15.89159107,14.909,3
2002,15.35,15.56039238,13.60778427,14.33217525,16.02711296,17.54214859,19.18375015,13.4512291,12.99850559,14.85505962,14.41768265,14.62705421,19.31727409,15.52782345,13.7654438,10.68972301,14.80856609,13.24294376,16.64662933,16.18922234,20.2236805,15.393,14.715,15.35375595,14.20681,14.56525135,12.28306389,11.92037106,13.91182137,12.68263149,14.19560803,18.00268173,15.27731705,13.68484783,15.21779156,15.194,3
2003,15.48,15.44826031,13.31180191,14.32596111,15.93276787,17.60574913,19.34142876,13.33790779,13.34056187,14.7593441,14.54150677,14.66363049,19.33288383,14.83980465,13.55213261,10.31857967,15.0572567,13.45180798,16.33979988,15.94838619,19.51454926,14.666,14.551,15.62386608,14.6588974,15.08816814,12.527174,11.61978149,13.74045467,12.52017879,13.35051172,17.83016586,15.08671761,13.60703659,15.00309086,15.365,3
2004,14.99,15.19149685,13.15019131,14.14381313,15.88950062,17.88514519,18.5676403,13.38047504,13.64131832,14.89387035,14.24901199,15.32957172,19.09889221,14.38050842,13.11435413,10.56941414,14.85208893,13.58157444,16.30367088,16.02423859,19.8999958,15.325,14.512,15.14901352,14.68205452,14.57265377,12.51731777,11.41132832,13.93877506,12.90187168,13.55647365,17.98573875,14.54142189,13.96710014,15.27022171,15.299,3
